threshold,targeted_customers,avg_expected_value_per_targeted,total_expected_value,offer_cost,save_rate,margin,months_saved
0.1,5436,36.461494163003294,198204.6822700859,12.0,0.35,0.3,12
0.15000000000000002,4992,39.86288343081191,198995.51408661308,12.0,0.35,0.3,12
0.2,4646,42.62818195873242,198050.53338027082,12.0,0.35,0.3,12
0.25,4341,45.17977160364236,196125.38853141147,12.0,0.35,0.3,12
0.30000000000000004,4070,47.5205190593171,193408.5125714206,12.0,0.35,0.3,12
0.35,3790,50.078155199718346,189796.20820693253,12.0,0.35,0.3,12
0.4,3449,53.80469983032701,185572.40971479786,12.0,0.35,0.3,12
0.45000000000000007,3197,56.302005939275354,179997.5129878633,12.0,0.35,0.3,12
0.5,2888,59.56692855438651,172029.28966506824,12.0,0.35,0.3,12
0.55,2643,61.8656825545103,163510.99899157073,12.0,0.35,0.3,12
0.6,2351,64.8022155319394,152350.00871558953,12.0,0.35,0.3,12
0.65,2089,67.38770531953034,140772.9164124989,12.0,0.35,0.3,12
0.7000000000000001,1785,70.74688428451728,126283.18844786334,12.0,0.35,0.3,12
0.75,1457,73.71233044360575,107398.86545633359,12.0,0.35,0.3,12
0.8,1054,77.51131355939924,81696.9244916068,12.0,0.35,0.3,12
0.85,591,81.85663236459965,48377.26972747839,12.0,0.35,0.3,12
0.9,132,92.53062569794952,12214.042592129335,12.0,0.35,0.3,12
