gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargePerMonth,TenureBucket,MonthlyChargesBucket,churn_probability,risk_bucket,risk_decile,recommended_action
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,29.85,0-6,26-50,0.8044972342477889,High,9,Target retention offer
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,55.5735294117647,25-36,51-75,0.11810320576722494,Low,3,No action
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,54.075,0-6,51-75,0.5304472770857959,Medium,7,Watchlist / proactive support
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,40.90555555555556,37-48,26-50,0.0815808070377636,Low,3,No action
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,75.825,0-6,51-75,0.8544460705342544,High,10,Target retention offer
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,102.5625,7-12,76-100,0.9090085062364197,High,10,Target retention offer
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,88.60909090909091,13-24,76-100,0.7192073450446753,High,8,Target retention offer
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,30.189999999999998,7-12,26-50,0.5232325538600677,Medium,7,Watchlist / proactive support
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,108.78750000000001,25-36,100+,0.8169562555067928,High,9,Target retention offer
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,56.25725806451613,61+,51-75,0.033731252641595565,Low,2,No action
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,45.18846153846154,13-24,26-50,0.4110492096173834,Medium,6,Watchlist / proactive support
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,20.425,13-24,0-25,0.07233752565068985,Low,2,No action
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,97.95,49-60,100+,0.3920011109228191,Low,6,No action
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,102.78163265306122,49-60,100+,0.6827525655914897,Medium,8,Watchlist / proactive support
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,107.44200000000001,25-36,100+,0.710476525078346,High,8,Target retention offer
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,114.42246376811593,61+,100+,0.0857623868341219,Low,3,No action
