feature,importance_mean,importance_std
tenure,0.08671020871787592,0.005544344115155071
MonthlyCharges,0.031108902456339647,0.0023368928414009924
InternetService,0.026267215675138445,0.004148779818611402
TotalCharges,0.012466278574471124,0.0018091802284477055
StreamingTV,0.005949169388044862,0.0018132428681568173
StreamingMovies,0.0044867244072128495,0.0019511439314271676
PaymentMethod,0.004145960528184034,0.0018662245975462515
Contract,0.003563822234843128,0.002629176376325058
OnlineSecurity,0.0016186284253869253,0.001590231435467837
MultipleLines,0.0013488570211557583,0.0011274177214883091
gender,0.0004117563538265201,0.0002940837026438775
Partner,0.00032656538406932166,0.00021107580217688774
PaperlessBilling,0.00015618344455490263,0.001600655979935778
PhoneService,0.00011358795967628677,0.0002825464822111604
Dependents,0.00011358795967627566,0.0010506886270055256
SeniorCitizen,1.1102230246251566e-17,0.0006719954318443347
TechSupport,-0.0007809172227743799,0.0011256281684213331
OnlineBackup,-0.0015476359505892322,0.0011079375933493972
DeviceProtection,-0.0016186284253869143,0.0006195491758986732
