feature,shap_value,feature_value,abs_shap_value
num__tenure,1.4657330740113417,-1.2816237461508113,1.4657330740113417
num__MonthlyCharges,0.804556445482372,-1.1640769778579783,0.804556445482372
num__TotalCharges,-0.45420170450909797,-0.9973056205571124,0.45420170450909797
cat__InternetService_DSL,-0.4336266717587392,1.0,0.4336266717587392
cat__InternetService_Fiber optic,-0.3369669259027467,0.0,0.3369669259027467
cat__Contract_Month-to-month,0.2940259036990593,1.0,0.2940259036990593
cat__PaymentMethod_Electronic check,0.16368502817052988,1.0,0.16368502817052988
cat__Contract_Two year,0.14017865923975775,0.0,0.14017865923975775
cat__MultipleLines_No,0.12537611759396722,0.0,0.12537611759396722
cat__StreamingMovies_No,-0.11877965412571792,1.0,0.11877965412571792
cat__StreamingMovies_Yes,-0.1160617511406375,0.0,0.1160617511406375
cat__StreamingTV_No,-0.09985125365029224,1.0,0.09985125365029224
cat__PaperlessBilling_No,0.09919012531753824,0.0,0.09919012531753824
cat__PhoneService_No,-0.09904418630401822,1.0,0.09904418630401822
cat__MultipleLines_No phone service,-0.09904418630401822,1.0,0.09904418630401822
cat__OnlineSecurity_No,0.09856294090304206,1.0,0.09856294090304206
cat__StreamingTV_Yes,-0.09437454814017926,0.0,0.09437454814017926
cat__TechSupport_No,0.08536766398166945,1.0,0.08536766398166945
cat__PhoneService_Yes,0.06870600583232911,0.0,0.06870600583232911
cat__OnlineSecurity_No internet service,0.062197192168033,0.0,0.062197192168033
cat__OnlineBackup_No internet service,0.062197192168033,0.0,0.062197192168033
cat__InternetService_No,0.062197192168033,0.0,0.062197192168033
cat__StreamingTV_No internet service,0.062197192168033,0.0,0.062197192168033
cat__StreamingMovies_No internet service,0.062197192168033,0.0,0.062197192168033
cat__TechSupport_No internet service,0.062197192168033,0.0,0.062197192168033
cat__DeviceProtection_No internet service,0.062197192168033,0.0,0.062197192168033
cat__Partner_No,0.051696379777184456,0.0,0.051696379777184456
cat__MultipleLines_Yes,-0.05110782699259977,0.0,0.05110782699259977
cat__Dependents_Yes,0.0463167200800796,0.0,0.0463167200800796
cat__PaymentMethod_Bank transfer (automatic),0.04518753148026633,0.0,0.04518753148026633
cat__gender_Female,-0.0420383487499275,1.0,0.0420383487499275
cat__Partner_Yes,-0.04169032512348086,1.0,0.04169032512348086
cat__OnlineBackup_No,-0.03362703814766014,0.0,0.03362703814766014
cat__PaperlessBilling_Yes,0.031744171778167705,1.0,0.031744171778167705
cat__gender_Male,0.028866371637611212,0.0,0.028866371637611212
cat__OnlineSecurity_Yes,0.02696380699491919,0.0,0.02696380699491919
cat__PaymentMethod_Credit card (automatic),0.026789985090052006,0.0,0.026789985090052006
cat__DeviceProtection_Yes,-0.02419219015993223,0.0,0.02419219015993223
cat__PaymentMethod_Mailed check,0.02180579791845831,0.0,0.02180579791845831
cat__TechSupport_Yes,0.019777795846655146,0.0,0.019777795846655146
cat__SeniorCitizen_0,-0.019508978265600368,1.0,0.019508978265600368
cat__Contract_One year,0.016226262916236585,0.0,0.016226262916236585
cat__OnlineBackup_Yes,0.015475086941103226,1.0,0.015475086941103226
cat__DeviceProtection_No,0.008927107135332783,1.0,0.008927107135332783
cat__Dependents_No,0.006540901326094289,1.0,0.006540901326094289
cat__SeniorCitizen_1,0.0012436228234348559,0.0,0.0012436228234348559
